type,asin,item_url,img_url,color,price,list_price,title,category
6,B079QG1H9Y,https://www.amazon.in/Red-Tape-Boots-7-India-RTS10973/dp/B079QG1H9Y/ref=sr_1_1651?s=shoes&ie=UTF8&qid=1530341797&sr=1-1651,https://images-eu.ssl-images-amazon.com/images/I/41Yal-cslGL.jpg,Tan,918,2295,Red Tape Men's Boots,fw
6,B074PRQWWY,https://www.amazon.in/Bond-Street-Red-Tape-Boots/dp/B074PRQWWY/ref=sr_1_2875?s=shoes&ie=UTF8&qid=1530341833&sr=1-2875,https://images-eu.ssl-images-amazon.com/images/I/4161EZLIl8L.jpg,Tan,1198,2995,Bond Street by (Red Tape) Men's  Boots,fw
2,B01I3LUP6G,https://www.amazon.in/Vans-Unisex-Skool-Leather-Sneakers/dp/B01I3LUP6G/ref=sr_1_8675?s=shoes&ie=UTF8&qid=1530342021&sr=1-8675,https://images-eu.ssl-images-amazon.com/images/I/41XyCoJ2dLL.jpg,Black,3999,3999,'Vans Unisex Old Skool Black Leather Sneakers - 6 UK/India (39 EU),fw
4,B01ETMI0TM,https://www.amazon.in/Rosso-Italiano-Mens-Loafers-ril499bu1001/dp/B01ETMI0TM/ref=sr_1_12016?s=shoes&ie=UTF8&qid=1530342132&sr=1-12016,https://images-eu.ssl-images-amazon.com/images/I/41fxp12FWjL.jpg,Blue,499,999,Rosso Italiano Men's Blue Loafers Shoe (ril499bu1001)10,fw
4,B01M74IW59,https://www.amazon.in/Knoos-Synthetic-Leather-DJ01-TAN-7-DJ01-TAN-7/dp/B01M74IW59/ref=sr_1_17598?s=shoes&ie=UTF8&qid=1530342322&sr=1-17598,https://images-eu.ssl-images-amazon.com/images/I/41oBLN0S8gL.jpg,Tan,499,1299,Knoos Men's Synthetic Leather Tan Loafers (DJ01-TAN),fw
4,B017IH94EK,https://www.amazon.in/FAUSTO-666-41-Black-Mens-Loafers/dp/B017IH94EK/ref=sr_1_15811?s=shoes&ie=UTF8&qid=1530342261&sr=1-15811,https://images-eu.ssl-images-amazon.com/images/I/41I8jDacj0L.jpg,Black,749,749,Fausto Men's Driving Loafers Casual Shoes,fw
2,B01GTMG614,https://www.amazon.in/Puma-Shadow-Vibrant-Orange-Sneakers/dp/B01GTMG614/ref=sr_1_8750?s=shoes&ie=UTF8&qid=1530342024&sr=1-8750,https://images-eu.ssl-images-amazon.com/images/I/312H%2BRrEU%2BL.jpg,Dark Shadow and Vibrant Orange,1574,3499,Puma Men's Elsu v2 Slip On SL IDP H2T Sneakers,fw
2,B06XJ5BNPL,https://www.amazon.in/Knoos-Orange-Canvas-Sneakers-VIS1002/dp/B06XJ5BNPL/ref=sr_1_13121?s=shoes&ie=UTF8&qid=1530342169&sr=1-13121,https://images-eu.ssl-images-amazon.com/images/I/41Tj-oMStwL.jpg,multicoloured,499,799,Knoos Men's Blue  Orange Canvas Nagra Sneakers (VIS1002  Size,fw
3,B076NS7865,https://www.amazon.in/Earton-Casual-Loafers-Moccasins-Multicolor/dp/B076NS7865/ref=sr_1_13497?s=shoes&ie=UTF8&qid=1530342182&sr=1-13497,https://images-eu.ssl-images-amazon.com/images/I/51p2Nw0ymnL.jpg,Multicolor,2490,2490,'Earton Men Multi 5 Pair Casual Shoes Loafers & Moccasins,fw
2,B0793FCY67,https://www.amazon.in/Vans-Michoacan-Marshmallow-Sneakers-7-VN0A3MUNQLS1/dp/B0793FCY67/ref=sr_1_5528?s=shoes&ie=UTF8&qid=1530341919&sr=1-5528,https://images-eu.ssl-images-amazon.com/images/I/41Q4iGDvMHL.jpg,(Chambray) Black/Marshmallow,2799,4999,'Vans Unisex Michoacan Sf Sneakers,fw
4,B078YPPZG7,https://www.amazon.in/Azotic-Synthetic-Leather-Slip-Loafer/dp/B078YPPZG7/ref=sr_1_472?s=shoes&ie=UTF8&qid=1530341761&sr=1-472,https://images-eu.ssl-images-amazon.com/images/I/31rbmQ7zOyL.jpg,multicolour,199,499,Azotic Men's Blue & Red Synthetic Leather Slip-On Loafer,fw
2,B01GTMG1GE,https://www.amazon.in/Puma-Mens-Peacoat-Jewel-Sneakers/dp/B01GTMG1GE/ref=sr_1_7014?s=shoes&ie=UTF8&qid=1530341967&sr=1-7014,https://images-eu.ssl-images-amazon.com/images/I/41ORhkDXZXL.jpg,Peacoat and Blue Jewel,3499,3499,Puma Men's Elsu v2 Slip on SL DP Sneakers,fw
2,B01BVB6SFM,https://www.amazon.in/Alberto-Torresi-Taupe-Leather-Sneakers/dp/B01BVB6SFM/ref=sr_1_18111?s=shoes&ie=UTF8&qid=1530342341&sr=1-18111,https://images-eu.ssl-images-amazon.com/images/I/4158K8ty73L.jpg,Taupe,4795,4795,Alberto Torresi Men's Grey Leather Sneakers,fw
